	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
Birubi 	5.0	127.32	-49.27	158.2	90	4	104.5	12.5	2	127.002	-50.191	2	127.472	-48.798	1	139.50	-50.32	126.31	-48.64	35.0	77.5	79.18	79.2	1.47	-0.31
Tasman 	5.0	146.49	-55.23	156.8	96	2	103.1	354.6	1	146.285	-54.306	1	146.575	-55.712	1	140.80	-50.14	147.16	-55.83	33.5	95.4	95.51	95.52	0.69	0.33
O_TF	6.0	66.58	-10.1	76	25	2	39.9	52	1	66.296	-10.332	1	66.841	-9.895	1	66.62	-10.88	66.63	-9.59	17.8	38	38.58	33.98	2.64	-0.14
Twelve-south 	6.0	66	-11.8	107	90	8	57.5	55	1	65.571	-12.095	1	66.371	-11.536	1	66.73	-13.33	66.23	-11.3	18.2	35	36.69	33.12	2.93	-0.24
Argo 	6.0	66.23	-13.68	127.7	95	5	61.1	54.4	2	65.769	-14.000	1	66.730	-13.330	1	67.1	-15.4	65.57	-12.10	18.9	40	35.34	32.74	1.74	-0.37
UNN	6.0	67	-16.25	109.1	55	4	63.8	60	2	66.489	-16.548	1	67.368	-16.054	1	66.85	-17.06	67.1	-15.53	20.0	30	34.34	32.6	2.40	-0.13
Marie_Celeste 	6.0	66	-17.5	208.6	166	15	105.9	60	2	65.131	-17.975	2	66.854	-17.057	1	66.37	-20.23	66.49	-16.55	20.3	30	32.07	31.68	2.98	-0.12
Egeria 	6.0	66.55	-20.12	46.3	41	1	22.4	58	1	66.366	-20.229	2	66.740	-20.002	1	65.13	-17.97	67.00	-20.41	21.3	32	31.09	31.5	0.81	0.52
Egeria 	6.0	67.29	-20.24	64.6	51	1.1	35.7	58	1	66.999	-20.411	1	67.526	-20.105	1	66.74	-20.00	67.78	-20.43	21.5	32	31.97	31.94	0.71	0.18
Egeria 	6.0	67.9	-20.35	31.6	26	1.5	15.3	58	1	67.777	-20.427	1	68.027	-20.275	1	67.53	-20.11	68.25	-20.67	21.7	32	32.68	32.31	1.91	0.32
Gemino 	6.0	69.28	-22.75	37.3	21	2.5	25.7	58	2	69.082	-22.886	1	69.381	-22.699	1	70.04	-25.15	69.16	-22.24	22.7	32	32.94	32.75	3.92	-0.74
Chile_1	7.0	-108.33	-34.72	1113.9	55	3	85.8	106	1	-109.248	-34.561	1	-97.130	-36.290	1	-109.32	-33.65	-97.07	-37.01	24.7	-16	-11.25	-11.54	1.80	0.06
Chile_2	7.0	-107.3	-35	1113.9	140	10	184.5	102	1	-109.248	-34.561	1	-97.130	-36.290	1	-109.32	-33.65	-97.07	-37.01	24.7	-12	-9.87	-10.14	2.36	0.03
Chile_3	7.0	-105.5	-35.35	1113.9	157	10	352.6	98	1	-109.248	-34.561	1	-97.130	-36.290	1	-109.32	-33.65	-97.07	-37.01	24.8	-8	-8.25	-8.48	2.10	0.02
Chile_4	7.0	-103.2	-35.85	1113.9	171	10	567.8	96	1	-109.248	-34.561	1	-97.130	-36.290	1	-109.32	-33.65	-97.07	-37.01	24.8	-6	-6.17	-6.37	1.93	0.02
Chile_5	7.0	-100.9	-36.15	1113.9	167	10	777.1	92	1	-109.248	-34.561	1	-97.130	-36.290	1	-109.32	-33.65	-97.07	-37.01	24.8	-2	-4.1	-4.26	1.98	0.02
